Word_id,Vocab_word
0,http
1,use
2,list
3,email
4,get
5,mail
6,one
7,free
8,time
9,work
10,messag
11,make
12,like
13,would
14,peopl
15,new
16,inform
17,receiv
18,pleas
19,click
20,busi
21,address
22,want
23,us
24,need
25,order
26,remov
27,also
28,go
29,year
30,send
31,money
32,file
33,compani
34,system
35,report
36,way
37,wrote
38,name
39,user
40,look
41,site
42,chang
43,day
44,know
45,state
46,program
47,may
48,see
49,call
50,could
51,group
52,even
53,think
54,includ
55,linux
56,first
57,offer
58,take
59,say
60,servic
61,right
62,world
63,tri
64,help
65,find
66,internet
67,market
68,product
69,mani
70,much
71,home
72,said
73,softwar
74,web
75,problem
76,date
77,line
78,spam
79,link
80,check
81,start
82,number
83,run
84,good
85,thing
86,well
87,subject
88,interest
89,phone
90,govern
91,person
92,provid
93,set
94,today
95,come
96,million
97,ad
98,give
99,server
100,follow
101,back
102,best
103,month
104,form
105,rate
106,everi
107,secur
108,gener
109,url
110,price
111,still
112,comput
113,packag
114,instal
115,code
116,avail
117,sent
118,life
119,version
120,read
121,commun
122,sinc
123,maintain
124,grant
125,sponsor
126,thank
127,network
128,two
129,differ
130,credit
131,without
132,made
133,develop
134,support
135,within
136,week
137,page
138,write
139,save
140,case
141,subscript
142,realli
143,irish
144,someth
145,current
146,un
147,anyon
148,last
149,onlin
150,complet
151,sure
152,build
153,card
154,seem
155,requir
156,manag
157,custom
158,de
159,ilug
160,never
161,better
162,window
163,keep
164,special
165,ca
166,point
167,place
168,search
169,per
170,anoth
171,found
172,actual
173,access
174,result
175,repli
176,contact
177,question
178,part
179,base
180,listmast
181,futur
182,old
183,issu
184,put
185,wish
186,long
187,next
188,let
189,live
190,countri
191,hour
192,end
193,invest
194,easi
195,unsubscrib
196,mean
197,must
198,process
199,unit
200,great
201,lot
202,got
203,nation
204,account
205,technolog
206,show
207,guarante
208,might
209,power
210,releas
211,legal
212,data
213,cost
214,allow
215,success
216,sourc
217,news
218,engin
219,possibl
220,trade
221,visit
222,profession
223,post
224,idea
225,increas
226,pay
227,ask
228,public
229,advertis
230,open
231,error
232,opportun
233,websit
234,test
235,real
236,sell
237,ever
238,less
239,respons
240,insur
241,plan
242,design
243,tell
244,creat
245,word
246,buy
247,reason
248,prefer
249,howev
250,heaven
251,someon
252,effect
253,aug
254,cd
255,color
256,sale
257,law
258,improv
259,applic
260,around
261,instead
262,fact
263,least
264,box
265,ye
266,dollar
267,fix
268,american
269,rpm
270,job
271,copi
272,simpl
273,probabl
274,origin
275,believ
276,cours
277,contain
278,type
279,move
280,fax
281,happen
282,friend
283,though
284,littl
285,els
286,financi
287,total
288,welcom
289,share
290,valu
291,request
292,add
293,exampl
294,return
295,abl
296,client
297,perl
